106,Lakeview Airport,13C,1,Approved,,,2012-01-25 03:18:24.0
107,Kenneson Aircraft,13K,1,Approved,,,2012-01-25 03:18:24.0
11208,Unknown,13N,1,Approved,,,2012-01-25 03:18:24.0
14844,Unknown,13U,1,Approved,,,2012-01-25 03:18:24.0
1145080,Unknown,13W,1,Approved,,,2012-01-25 03:18:24.0
11209,Unknown,13Y,1,Approved,,,2012-01-25 03:18:24.0
1149424,Race City Aviation,14A,1,Approved,Mon - Fri 0800-1700,Mon - Fri 0800-1700,2013-04-19 13:18:50.0
108,Lake Norman Airport,14A,999,Approved,,,2012-01-25 03:18:24.0
109,B&K Flying Service,14F,1,Approved,,,2012-01-25 03:18:24.0
110,Damschroder Sales,14G,1,Approved,,,2012-01-25 03:18:24.0
11210,Unknown,14I,1,Approved,,,2012-01-25 03:18:24.0
111,Elba Aviation,14J,1,Approved,,,2012-01-25 03:18:24.0
11211,Unknown,14M,1,Approved,,,2012-01-25 03:18:24.0
11413,Unknown,14ME,1,Approved,,,2012-01-25 03:18:24.0
11212,Unknown,14N,1,Approved,,,2012-01-25 03:18:24.0
11214,Unknown,14S,1,Approved,,,2012-01-25 03:18:24.0
112,Todd Field Airport,14Y,1,Approved,,,2012-01-25 03:18:24.0
11215,Unknown,15A,1,Approved,,,2012-01-25 03:18:24.0
113,City Of Haskell,15F,1,Approved,,,2012-01-25 03:18:24.0
114,Skypark,15G,1,Approved,,,2012-01-25 03:18:24.0
115,Adel Aviation,15J,3,Approved,,,2012-01-25 03:18:24.0
116,Miller Aircraft Svcs,15J,4,Approved,,,2012-01-25 03:18:24.0
9698,Interstate Aircraft Services,15J,1,Approved,,,2012-07-09 20:05:06.0
6921,Southern Horizons,15J,2,Approved,,,2012-01-25 03:18:24.0
11216,Unknown,15M,1,Approved,,,2012-01-25 03:18:24.0
11217,Unknown,15N,1,Approved,,,2012-01-25 03:18:24.0
11218,Unknown,15Z,1,Approved,,,2012-01-25 03:18:24.0
11219,Unknown,16A,1,Approved,,,2012-01-25 03:18:24.0
11220,Fbo Facility Not Available,16D,1,Approved,,,2012-01-25 03:18:24.0
118,Tiffin Aire,16G,1,Approved,,,2013-11-14 13:45:38.0
119,Dawson Aviation Svc,16J,1,Approved,,,2012-01-25 03:18:24.0
11221,Myrtle Creek A/P Authority,16S,1,Approved,,,2012-01-25 03:18:24.0
1145082,Unknown,16W,1,Approved,,,2012-01-25 03:18:24.0
11637,Unknown,17AR,1,Approved,,,2012-01-25 03:18:24.0
1147062,Jumbolair (Private),17FL,1,Approved,,,2012-01-25 03:18:24.0
120,Detray Aviation,17G,1,Approved,,,2012-01-25 03:18:24.0
9357,Seminole Aviation,17J,1,Approved,,m0f 0800-1700 sa-su on call,2012-01-25 03:18:24.0
121,Boise City Arpt,17K,1,Approved,,,2012-01-25 03:18:24.0
122,City Of Magee,17M,1,Approved,,,2012-01-25 03:18:24.0
123,Cross Keys Airport,17N,1,Approved,,,2012-01-25 03:18:24.0
1145084,Unknown,17S,1,Approved,,,2012-01-25 03:18:24.0
1145085,Unknown,17U,1,Approved,,,2012-01-25 03:18:24.0
11223,Unknown,17V,1,Approved,,,2012-01-25 03:18:24.0
1154213,Quahadi Ranch Airport (Pvt),17XS,1,Approved,,,2012-01-25 03:18:24.0
11226,Unknown,18A,1,Approved,,,2012-01-25 03:18:24.0
11227,Unknown,18I,1,Approved,,,2012-01-25 03:18:24.0
11228,Unknown,18K,1,Approved,,,2012-01-25 03:18:24.0
124,Platte Valley Av,18V,1,Approved,,,2012-01-25 03:18:24.0
11229,Unknown,18Y,1,Approved,,,2012-01-25 03:18:24.0
125,Jackson County A/P (Fka Allen Aero Services),19A,1,Approved,0800-1700,,2013-11-14 13:45:38.0
11230,Unknown,19M,1,Approved,,,2012-01-25 03:18:24.0
127,Garden State Aviation,19N,1,Approved,,,2012-01-25 03:18:24.0
1147239,Unknown,19S,1,Approved,,,2012-01-25 03:18:24.0
128,Dallas Bay Sky Park,1A0,1,Approved,,,2012-01-25 03:18:24.0
1145086,Unknown,1A1,1,Approved,,,2012-01-25 03:18:24.0
1145087,Unknown,1A2,1,Approved,,,2012-01-25 03:18:24.0
11231,Unknown,1A3,1,Approved,,,2012-01-25 03:18:24.0
10473,Franklin Aviation,1A5,1,Approved,,,2013-11-14 13:46:14.0
130,Mountain Air Service,1A6,1,Approved,,,2012-01-25 03:18:24.0
11232,Unknown,1A7,1,Approved,,,2012-01-25 03:18:24.0
11233,Unknown,1A8,1,Approved,,,2012-01-25 03:18:24.0
131,Prattville Airport,1A9,1,Approved,0800-1800 7 days a week,,2013-11-14 13:45:38.0
132,American Aviation,1B0,1,Approved,,,2012-01-25 03:18:24.0
133,Richmor Aviation,1B1,1,Approved,0800-2000 / 7 days a week,0800-1700 / 7 days a week,2013-11-14 13:45:38.0
11234,Unknown,1B2,1,Approved,,,2012-01-25 03:18:24.0
11235,Unknown,1B3,1,Approved,,,2012-01-25 03:18:24.0
4112,Kamp Air,1B4,1,Approved,,,2012-01-25 03:18:24.0
11236,Unknown,1B5,1,Approved,,,2012-01-25 03:18:24.0
11237,Unknown,1B6,1,Approved,,,2012-01-25 03:18:24.0
11238,Unknown,1B8,1,Approved,,,2012-01-25 03:18:24.0
135,King Aviation,1B9,1,Approved,,,2012-01-25 03:18:24.0
136,Specchio Av Center,1C1,1,Approved,,,2012-01-25 03:18:24.0
11239,Unknown,1C2,1,Approved,,,2012-01-25 03:18:24.0
1145088,Unknown,1C3,1,Approved,,,2012-01-25 03:18:24.0
137,A & M Aviation,1C5,1,Approved,,,2012-01-25 03:18:24.0
11240,Unknown,1C8,1,Approved,,,2012-01-25 03:18:24.0
11241,Unknown,1C9,1,Approved,,,2012-01-25 03:18:24.0
307,C & L Flying Svc,1CO5,1,Approved,,,2012-01-25 03:18:24.0
138,Milbank Muni Arpt,1D1,1,Approved,,,2012-01-25 03:18:24.0
139,Jet Services,1D2,1,Approved,,,2012-01-25 03:18:24.0
140,Municipal Airport,1D3,1,Approved,Mon - Sat 0800-1700,Mon - Sat 0800-1700,2012-01-25 03:18:24.0
11242,Unknown,1D4,1,Approved,,,2012-01-25 03:18:24.0
141,Hector Muni Arpt,1D6,1,Approved,,,2012-01-25 03:18:24.0
142,Webster Muni,1D7,1,Approved,,,2012-01-25 03:18:24.0
