SAOC,RCU,,AREA DE MATERIAL,RIO CUARTO,,ARG,America/Argentina/Cordoba,1381,7431,-119132,-231370,1,1,0,NO
SAOD,VDR,,VILLA DOLORES,VILLA DOLORES,,ARG,America/Argentina/Cordoba,1854,4921,-115032,-234530,0,0,0,NO
SAOL,,,LABOULAYE,LABOULAYE,,ARG,America/Argentina/Cordoba,449,3937,-122880,-228120,0,0,0,NO
SAOM,,,MARCOS JUAREZ,MARCOS JUAREZ,,ARG,America/Argentina/Cordoba,361,3937,-117700,-223750,0,1,0,NO
SAOR,,,VILLA REYNOLDS,VILLA REYNOLDS,,ARG,Etc/GMT+3,1590,7874,-121410,-235361,1,1,0,NO
SAOS,,SACO,STA. ROSA DE CONLARA,VALLE DEL CONLARA,,ARG,Etc/GMT+3,2020,8366,-116584,-234669,1,1,0,NO
SAOU,LUQ,,BRIG. MAYOR D. CESAR RAUL OJED,SAN LUIS,,ARG,Etc/GMT+3,2328,9678,-119796,-238871,1,1,0,NO
SARC,CNQ,,CORRIENTES,CORRIENTES,,ARG,America/Argentina/Cordoba,202,6890,-98804,-211543,1,1,1,NO
SARE,RES,SARC,RESISTENCIA,RESISTENCIA,,ARG,America/Argentina/Cordoba,174,9088,-98820,-212602,1,1,1,NO
SARF,FMA,,FORMOSA,FORMOSA,,ARG,America/Argentina/Cordoba,193,5905,-94366,-209621,1,1,1,NO
SARI,IGR,SBFI,MAYOR D CARLOS EDUARDO KRAUSE,CATARATAS DEL IGUAZU,,ARG,America/Argentina/Cordoba,916,10827,-92654,-196104,1,1,1,NO
SARL,AOL,,PASO DE LOS LIBRES,PASO DE LOS LIBRES,,ARG,America/Argentina/Cordoba,230,7415,-106877,-205748,1,0,1,NO
SARM,MCS,,MONTE CASEROS,MONTE CASEROS,,ARG,America/Argentina/Cordoba,171,4088,-108972,-207504,0,0,0,NO
SARP,PSS,,LIBERADOR GRAL D JOSE DE SAN M,POSADAS,,ARG,America/Argentina/Cordoba,430,7388,-98589,-201494,1,1,1,NO
SARS,PRQ,,PRESIDENCIA ROQUE S. PENA,PRESIDENCIA ROQUE S. PEN,,ARG,America/Argentina/Cordoba,308,5315,-96313.27,-217772.61,0,0,0,NO
SASA,SLA,SASJ,GEN. DON MARTIN MIGUEL DE GUEM,SALTA,,ARG,America/Argentina/Salta,4088,9843,-89495,-235753,1,1,1,NO
SASJ,JUJ,SASA,GOBERNADOR HORACIO GUZMAN,JUJUY,,ARG,America/Argentina/Jujuy,3019,9659,-87814,-234352,1,1,1,NO
SASO,ORA,,ORAN,ORAN,,ARG,America/Argentina/Salta,1168,4708,-83342,-231564,0,0,0,NO
SAST,TTG,,GENERAL ENRIQUE MOSCONI,TARTAGAL,,ARG,America/Argentina/Salta,1472,4921,-81426,-229655,0,1,0,NO
SATC,CLX,,CLORINDA,CLORINDA,,ARG,America/Argentina/Cordoba,200,3281,-91080,-207840,0,0,0,NO
SATD,ELO,,ELDORADO,ELDORADO,,ARG,America/Argentina/Cordoba,686,4692,-95040,-196440,0,0,0,NO
SATG,OYA,,GOYA,GOYA,,ARG,America/Argentina/Cordoba,128,7415,-104781,-213188,1,0,0,NO
